201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
201,199,189
199,197,186
199,197,186
200,200,188
