201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
203,148,97
201,143,94
202,144,95
203,145,96
201,146,95
205,148,97
201,143,94
202,144,95
202,144,95
202,147,96
205,148,97
202,144,95
202,144,95
205,147,98
202,147,96
207,150,99
202,144,95
202,144,95
202,144,95
202,147,96
209,152,101
202,144,95
202,144,95
205,147,98
202,147,96
208,151,100
202,144,95
202,144,95
203,145,96
202,147,96
206,149,98
202,144,95
203,145,96
206,148,99
203,148,97
206,149,98
